strategy,fast,slow,sharpe,maxdd,cagr,win_rate,profit_factor,trades,rsi_window,entry,exit,short_entry,short_exit,lookback,skip,top_n,gross_exposure
rsi_mr,,,0.3832796820034623,-1.1805031127846033,,0.540785498489426,0.9673074638229372,331.0,14.0,20.0,70.0,70.0,55.0,,,,
rsi_mr,,,0.32616598729646046,-5.8981172451347375,-0.12101704907423039,0.4423076923076923,0.11559828508772096,52.0,14.0,20.0,70.0,80.0,55.0,,,,
rsi_mr,,,0.2908818938647439,-1.045121188060656,-0.8733336608462408,0.4659090909090909,0.4427746463331771,88.0,21.0,25.0,60.0,75.0,50.0,,,,
rsi_mr,,,0.2746321139639853,-2.4299433799593277,,0.5678571428571428,0.9492014208660183,280.0,14.0,30.0,60.0,75.0,55.0,,,,
rsi_mr,,,0.2725540388852894,-0.9939697144691475,-0.3294158141019409,0.5741444866920152,0.8181897520754776,263.0,14.0,25.0,60.0,80.0,50.0,,,,
rsi_mr,,,0.2719325474367874,-1.0079949479353827,-0.5741293278561485,0.5284090909090909,0.9546564168156917,176.0,14.0,30.0,70.0,75.0,50.0,,,,
rsi_mr,,,0.25375208623358564,-190.97601154061394,0.5457425659858024,0.5173611111111112,0.8812505182586038,288.0,14.0,20.0,60.0,80.0,55.0,,,,
rsi_mr,,,0.22670403210271445,-1.0411804626774472,,0.3170731707317073,0.3699385185324063,41.0,21.0,25.0,60.0,75.0,55.0,,,,
rsi_mr,,,0.2173885444411133,-60.92218052661885,,0.6344086021505376,0.8753688840270593,93.0,14.0,30.0,70.0,80.0,55.0,,,,
rsi_mr,,,0.17748875480780762,-2.4779587703384047,-0.293006301570656,0.5228758169934641,0.542497316661854,153.0,21.0,20.0,60.0,80.0,55.0,,,,
rsi_mr,,,0.1763572332732709,-1.0172885851968039,,0.5378151260504201,0.758721239689426,119.0,21.0,20.0,60.0,70.0,50.0,,,,
rsi_mr,,,0.1757764834039377,-2.032131504299901,-0.5065633722917912,0.536,0.7868734225272935,375.0,14.0,20.0,60.0,70.0,50.0,,,,
rsi_mr,,,0.17392605543424838,-20.942883129602595,0.6693486458558182,0.6185567010309279,0.9066203595640999,97.0,14.0,30.0,70.0,80.0,50.0,,,,
rsi_mr,,,0.16941524962456112,-1.0129996658992677,0.19882020656837085,0.5625,0.999608454239933,192.0,14.0,25.0,70.0,80.0,50.0,,,,
rsi_mr,,,0.15059044133603267,-1.2416653891621765,-0.36518024427673135,0.4626865671641791,0.5126888594104595,134.0,21.0,25.0,60.0,70.0,55.0,,,,
rsi_mr,,,0.1475583904806041,-1.6888884511309943,,0.5384615384615384,0.05020297141846011,39.0,21.0,20.0,60.0,80.0,50.0,,,,
rsi_mr,,,0.10198184538954633,-1.7982389543114103,,0.5284280936454849,0.9063468876440879,299.0,14.0,20.0,60.0,75.0,55.0,,,,
